nome,idade,naturalidade,equipe,pais
Ayrton Senna,,São Paulo,Toleman,Brasil
Emerson Fittipaldi,76.0,São Paulo,Lotus,Brasil
José Carlos Pace,78.0,São Paulo,Willys,Brasil
Lewis Hamilton,37.0,Stevenage,McLaren,Inglaterra
Max Verstappen,25.0,Hasselt,Toro Rosso,Bélgica
Michael Schumacher,53.0,Hürth,Jordan,Alemanha
Nelson Piquet,70.0,Rio de Janeiro,Ensign,Brasil
Rubens Barrichello,50.0,São Paulo,Jordan,Brasil
Jos Verstappen,50.0,Montfort,Bennetton,Holanda
Sebastian Vettel,35.0,Heppenhein,Sauber,Alemanha
Nigel Mansell,69.0,Upton-upon-Severn,Lotus,Inglaterra
Nico Rosberg,37.0,Wiesbaden,Williams,Alemanha
Jenson Button,42.0,Frome,Williams,Inglaterra
